developer_id,developer
116,High Voltage Software
117,Surreal Software
118,Infogrames
119,Insomniac Games
120,Midway Games West
121,Activision
122,Hudson Soft
123,Unknown
124,K2 LLC
125,Amaze Entertainment
126,Mercury Steam
127,Rockstar Vancouver/Mad Doc Software
128,Headgate
129,Visceral Games
130,Digital Eclipse
131,Vigil Games
132,Terry Cavanagh
133,DreamWorks Interactive
134,Studio Wildcard
135,Dodge Roll
136,"mixi, Inc"
137,Triternion
138,Fatshark AB
139,Mindscape Inc.
140,SquareSoft
141,QLOC
142,Double Fine Productions
143,Overworks
144,1st Playable Productions / OneNine Studios
145,Bennett Foddy
146,Konami Computer Entertainment Tokyo
147,Rockstar Vancouver
148,Parker Bros.
149,Tantalus Interactive
150,Epic Games
151,n-Space
152,Rockstar Toronto
153,Red Fly Studio
154,Paradox Interactive
155,Game Refuge
156,Artificial Mind and Movement
157,Eat Sleep Play
158,Mystique
159,Redbeet Interactive
160,Gorilla Systems
161,Monkey Bar Games
162,20th Century Fox Video Games
163,Messhof
164,Men-A-Vision
165,David A. Palmer Productions
166,Incognito Inc.
167,Pandemic Studios
168,Bright Light Productions
169,Game Republic
170,Fish Factory Games
171,Project ACES
172,Raven Software
173,Eurocom Entertainment Software
174,Takara
175,DrinkBox Studios
176,Kronos Digital Entertainment
177,Altron
178,Pacific Coast Power & Light
179,Rare Ltd.
180,SourceNext
181,Suspicious Developments
182,Virtucraft
183,Bizarre Creations
184,Luxoflux Corp.
185,Tigervision
186,Midway Studios Los Angeles
187,7 Studios
188,Secret Level
189,Grasshopper Manufacture
190,SCEE London Studio
191,Mattel
192,Tecmo Koei Games
193,TOSE
194,Savage Entertainment
195,Epicenter Studios
196,GenePool
197,SuperVillain Studios
198,Kalisto Entertainment
199,IllFonic
200,Universal Gamex
201,Clover Studio
202,Wizard Video Games
203,Shift
204,Webfoot Technologies
205,Appaloosa Interactive
206,Ghost Town Games
207,Shiver Games
208,High Moon Studios
209,Coleco
210,Runecraft
211,Incinerator Studios
212,High Impact Games
213,Black Ops Entertainment
214,Trion Worlds
215,Ubisoft Romania
216,Level 5
217,Namco Bandai
218,Natsume
219,Capcom Production Studio 1
220,Steel Monkeys
221,EXAKT Entertainment
222,Angel Studios
223,Rockstar London
224,Deep Space
225,Banpresto
226,Kadokawa Games
227,Mastfire Studios Pty Ltd
228,Atari Games
229,EA Bright Light
230,Keen Games
231,Criterion Games
232,WXP
233,Bandai Namco Games
234,X-ample
235,Take-Two Interactive
236,Factor 5
237,Now Production
238,Shaba Games
239,Answer Software
240,Frictional Games
241,Team17 Software
242,Cyanide Studios
243,Hazelight
244,Black Lantern Studios
245,Data East
246,Artoon
247,Ubisoft Casablanca
248,Silicon Knights
249,Tecmo
250,Buzz Monkey
251,SCE San Diego Studio
252,Software Creations
253,BioWare
254,Haemimont Games
255,Torus Games
256,Koei
257,Saffire Corporation
258,Bandai
259,Double Helix Games
260,Behaviour Interactive Inc.
261,Point of View
262,United Front Games
263,Genuine Games
264,The Creative Assembly
265,Papaya Studio Corporation
266,Beenox Studios
267,FantaBlade Network
268,Cave Barn
269,SCEE Cambridge
270,THQ
271,CyberConnect2
272,Aspect
273,Dynamic Pixels
274,Propaganda Games
275,THQ Australia
276,Etranges Libellules
277,Namco Bandai Games
278,Cavia Inc.
279,Traveller's Tales / Heavy Iron Studios
280,Arkedo Studio
281,Ubisoft Bucharest
282,Tempest Software
283,Collision Studios
284,CRI
285,"Z-Axis, Ltd."
286,hyperboreanGames
287,Titus Software
288,Paradigm Entertainment
289,Midway
290,EA Redwood Shores
291,Shaba Games / Treyarch
292,"Pipeworks Software, Inc."
293,Zen Studios Inc.
294,Firebrand Games
295,"Sega Studios, San Francisco"
296,Sand Grain Studios
297,Red Barrels
298,Rooster Teeth Games
299,Data Age
300,Red Tribe
301,A2M
302,Amuze
303,Climax
304,Idol Minds
305,Free Lives
306,Quebec City
307,Next Level Games
308,Terraglyph Interactive Studios
309,Imagic
310,TinyBuild Games
311,Zombie Studios
312,Ocean
313,Konami Computer Entertainment Osaka
314,Mass Media
315,Nintendo EPD
316,CokeM Interactive
317,Airtight Games
318,Digital Melody
319,Pocket Studios
320,Acid Nerve
321,Destination Software
322,Transhuman Design
323,Sennari Interactive
324,Gem International Corporation
325,TOSE Software
326,Tantatus Interactive
327,Nihilistic Software
328,DONTNOD Entertainment
329,Delphine Software International
330,From Software
331,Smart Bomb Interactive
332,Amaze Entertainment / Griptonite Games
333,Amusement Vision
334,City Interactive
335,Parker Bros
336,Starpath Corp.
337,Barking Lizards Technologies LLC
338,Riverhillsoft
339,Triumph Studios
340,Pipe Dream Interactive
341,Bec
342,Avanquest Software
343,Tamsoft
344,The Sims Studio
345,Opus Studio
346,CBS Electronics
347,Mucky Foot Productions
348,Gameloft
349,Capcom Production Studio 6
350,WayForward Technologies
351,Q Entertainment / Phantagram
352,K Bros Games
353,Soleil Software Studio Inc.
354,Spike
355,Electronic Arts
356,Telesys
357,Blue Tongue
358,JCKSLAP
359,Lince Works
360,Capcom Production Studio 1 / TOSE Software
361,Wulo Games
362,Creat Studios
363,Red Storm Entertainment
364,Taito
365,Hamster
366,Zindagi Games
367,Warthog
368,Quantic Dream
369,Ignition Entertainment
370,Sidhe Interactive
371,Playbrains
372,Andrey Malyarov
373,Disney Interactive
374,Irvin Vaush
375,Rockstar Toronto / Leeds
376,DolphinBarn
377,Charyb Games
378,Acclaim Studios Teesside
379,Night Node Software
380,Rotatipyra
381,Svarog Studios
382,Marvelous Entertainment
383,Majesco Games
384,Human Head Studios
385,EA Tiburon
386,Access Games
387,Human Soft
388,Delusional Games
389,Czester16
390,Oddworld Inhabitants
391,Rake in Grass
392,PlayStation C.A.M.P.!
393,Amaze
394,NeoCoreGames
395,WolfgangIs
396,Realtime Associates
397,Beenox
398,Blastoid Entertainment
399,Gunfire Games
400,Dunhill Electronic Media Corp
401,DL Softworks
402,Sony Computer Entertainment
403,Wheelhaus
404,Reality Pump Studios
405,Powerhoof
406,Adrenium
407,Sugar & Rockets
408,Digital Illusions
409,Headstrong Games
410,RMAL
411,Pokshevanov Pavel
412,Guerrilla Cambridge
413,Phoenix Games
414,Gray Matter Inc.
415,SNK Corporation
416,Game Republik
417,Forever Entertainment S.A.
418,Konami Digital Entertainment
419,Way Forward Technologies
420,Bits Studios
421,Bomb
422,ArtDink
423,Just1337 Studio
424,Ardi Studio
425,Dagestan Technology
426,Takara Tomy
427,Rebellion Developments
428,Neko Climax Studios
429,Rainbow Studios
430,Spiders
431,Salu Ltd.
432,Alpha Unit
433,Swing Swing Submarine
434,Ganbarion
435,Ion Storm
436,Smilebit
437,Anatoliy Loginovskikh
