publisher_id,publisher
162,Galaxy Trail
163,Playlogic Game Factory
164,PQube
165,Avalon Interactive
166,NewKidCo
167,Crave Entertainment
168,Rising Star Games
169,Vir2L Studios
170,Marvelous Interactive
171,Beatnik Games
172,Indie Voyage
173,Insomniac Games
174,GameTrust
175,Trendy Entertainment
176,Little Orbit
177,D-Pad Studio
178,Screenwave Media
179,Hip Interactive
180,NeocoreGames
181,Nihon Falcom Corp
182,Mehsoft
183,Born Ready Games
184,Headup Games
185,Kinto Games LLC
186,Idea Factory International
187,Dagestan Technology
188,"Arcen Games, LLC"
189,KHB-Soft
190,TEAM HORAY
191,Kiss
192,Adult Swim
193,Aksys Games
194,David Williamson
195,Hopoo Games
196,Bootdisk Revolution
197,Space Boat Studios
198,Frogmind
199,Chubby Pixel
200,Lighthouse Games Studio
201,Takara Tomy
202,Merge Games
203,Aspyr
204,Global Star Software
205,Siberian Digital
206,Walter Machado
207,Gamecock
208,ZOV GAME STUDIO
209,O-Games
210,Maximum Games
211,Black Lime Studio
212,Groove Games
213,U.S. Gold
214,Jaleco
215,Game Factory
216,Mumbo Jumbo
217,DreamCatcher Interactive
218,Brash Entertainment
219,Broccoli
220,GameMill Entertainment
221,Outright Games
222,Nordic Games
223,Sammy Corporation
224,Rocket Company
225,FuRyu Corporation
226,Irem Software Engineering
227,Sunrise Interactive
228,Storm City Games
229,Enix
230,Evolution Games
231,Kadokawa Shoten
232,Alchemist
233,Falcom Corporation
234,Marvelous
235,Marvel Entertainment
236,Takara
237,Ready at Dawn
238,Nighthawk Interactive
239,Vatical Entertainment
240,Perp Games
241,Midas Interactive Entertainment
242,Red Storm Entertainment
243,Kalypso Media
244,MTO
245,Legacy Interactive
246,ChunSoft
247,DSI Games
248,Avanquest Software
249,Kaga Create
250,Nippon Ichi Software
251,IE Institute
252,Big Fish Games
253,Oxygen Interactive
254,Berkeley
255,Empire Interactive
256,Wired Productions
257,Encore
258,Stainless Games
259,Aquaplus
260,Zoo Games
261,Idea Factory
262,Yacht Club Games
263,Dramatic Create
264,Sony Computer Entertainment Europe
265,Arc System Works
266,Russel
267,11 bit studios
268,Phantom 8 Studio
269,Inti Creates
270,5pb
271,Experience Inc.
272,SystemSoft Alpha
273,Hoplite Research
274,Soedesco
275,Asgard
276,XS Games
277,Avanquest
278,Piacci
279,Compile Heart
280,Alawar Entertainment
281,Red Flagship
282,Essential Games
283,Neko Entertainment
284,Epic Games
285,Villa Gorilla
286,GungHo
287,HuneX
288,From Software
289,Focus Multimedia
290,Yeti
291,honeybee
292,Facepunch Studios
293,Blast! Entertainment Ltd
294,M2
295,Quinrose
296,Kalypso
297,Interchannel
298,Silky`s
299,Success
300,Prototype
301,Eidos Interactive Ltd
302,King Games
303,Digital Works Entertainment
304,DMM Games
305,Happinet
306,Alternative Software
307,Dovetail Games
308,United Developers
309,Metro 3D
310,Views
311,Rondomedia
312,Noviy Disk
313,SNK Playmore
314,1C Maddox Games
315,Virgin Play
316,Zushi Games
317,Game Factory Interactive
318,Futurlab 1
319,Mojang
320,Broderbund
321,Sony Computer Entertainment America
322,Endnight Games Ltd
323,Chucklefish
324,Crystal Dynamics
325,Ocean Software
326,Team Cherry
327,Hello Games
328,Ninja Theory
329,Gearbox Publishing
330,Frozenbyte
331,Flyhigh Works
332,FDG Entertainment
333,Black Shell Media
334,Cleverweek
335,Analgesic Productions
336,Crackshell
337,Vaka Game Magazine
338,Microids
339,Modus Games
340,GungHo Online Entertainment
341,Unknown Worlds Entertainment
342,Red Orb
343,Galactic Cafe
344,Daedalic Entertainment
345,Navarre Corp
346,Amanita Design
347,ASCII Entertainment
348,Double Fine Productions
349,The Astronauts
350,Elf
351,Kokopeli Digital Studios
352,Sam Barlow
353,Ysbryd Games
354,NEC Interchannel
355,Coconut Island Games
356,White Dog
357,Might and Delight
358,Necrophone Games
359,PopCap Games
360,Natsume
361,Imagineer
362,Pioneer LDC
363,Fireproof Games
364,GrabTheGames
365,Merscom LLC
366,Krillbite Studio
367,Killmonday Games
368,Asylum Entertainment
369,LEGO Media
370,Bit Blot
371,Viva Media
372,Hothead Games
373,Revolution Software
374,Grey Box
375,The Adventure Company
